Code,Name,Lat,Lon,region1,region2
AAA,Anaa,-17.341857,-145.50872,French Polynesia,French Polynesia
AAB,Arrabury,-26.75,141,Australia,Australia
AAC,El Arish,31.0695,33.8376,Egypt,Egypt
AAE,Les Salines ,36.829,7.8104,Algeria,Algeria
AAF,Apalachicola Municipal,29.728276,-85.030707,United States,United States
AAH,Aachen-Merzbruck airport ,50.823189,6.1912,Germany,Germany
AAI,Arraias,-12.916667,-46.933333,Brazil,Brazil
AAK,Aranuka,,,Kiribati,Kiribati
AAL,Aalborg Airport ,57.093333,9.854687,Denmark,Denmark
AAM,Mala Mala,-24.818111,31.544583,South Africa,South Africa
AAN,Al Ain,,,United Arab Emirates,United Arab Emirates
AAO,Anaco,9.430555,-64.471664,Venezuela,Venezuela
AAP,Houston Andrau Airpark,29.72245,-95.588303,United States,United States
AAQ,Anapa Airport ,,,Russian Federation,Russian Federation
AAR,Tirstrup ,56.304329,10.620464,Denmark,Denmark
AAS,Apalapsili,-3.916667,139.25,Indonesia,Indonesia
AAT,Altay,47.740631,88.084503,China,China
AAU,Asau Airport ,,,Samoa,Samoa
AAV,Alah,,,Philippines,Philippines
AAX,Araxa,-19.5625,-46.960556,Brazil,Brazil
AAY,Al Ghaydah,16.195,52.175835,Yemen,Yemen
ABA,Abakan,51.294319,83.814308,Russian Federation,Russian Federation
ABC,Los Llanos Airport ,38.942533,-1.861553,Spain,Spain
ABD,Abadan,34.066667,48.133333,Iran,Iran
ABE,Lehigh Valley Int'l ,40.652131,-75.441982,United States,United States
ABF,Abaiang,,,Kiribati,Kiribati
ABG,Abingdon,-17.666667,143.2,Australia,Australia
ABH,Alpha,,,Australia,Australia
ABI,Abilene Regional Airport ,32.410213,-99.67993,United States,United States
ABJ,Felix Houphouet Boigny ,5.25,-3.9333,Ivory Coast,Ivory Coast
ABK,Kabri Dar,6.7333,44.2666,Ethiopia,Ethiopia
ABL,Ambler,67.106102,-157.853623,United States,United States
ABM,Bamaga,-10.943822,142.452514,Australia,Australia
ABN,Albina,,,Suriname,Suriname
ABO,Aboisso,5.466667,-3.2,Ivory Coast,Ivory Coast
ABP,Atkamba,-6.066667,141.1,Papua New Guinea,Papua New Guinea
ABQ,Albuquerque International Sunport ,35.047434,-106.617445,United States,United States
ABR,Aberdeen Municipal Airport ,45.453269,-98.41832,United States,United States
ABS,Abu Simbel,22.361,31.5985,Egypt,Egypt
